run 20260917T061525-c717ab5-heldout-40-ceiling [complete]
sample=heldout-40 arm=ceiling model=openai/gpt-5.6-luna price_variant=batch
exclusions=- includes=-
commit=c717ab5 started=2026-09-17T06:15:25.900017+00:00 finished=2026-09-17T06:30:56.146265+00:00
cases=40 total_cost_usd=0.0443

| slice | n | top-1 | top-3 | event | pair unseen | abstain | answered top-1 | finding P@10 | R@10 | P@8 | R@8 | P@6 | R@6 | R@10 all | failed | cost/case USD |
|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|
| all | 40 | 2.5% [0.4%, 12.9%] | 2.5% [0.4%, 12.9%] | 2.5% [0.4%, 12.9%] | 7.5% [2.6%, 19.9%] | 30.0% [18.1%, 45.4%] | 3.6% [0.6%, 17.7%] | 2.5% [0.0%, 7.5%] | 1.2% [0.0%, 3.8%] | 2.5% [0.0%, 7.5%] | 1.2% [0.0%, 3.8%] | 11.2% [4.2%, 19.6%] | 11.9% [4.0%, 21.7%] | 0.8% [0.0%, 2.5%] | 0 of 40 | 0.0011 |
| fatal | 11 | 9.1% [1.6%, 37.7%] | 9.1% [1.6%, 37.7%] | 9.1% [1.6%, 37.7%] | 0.0% [0.0%, 25.9%] | 18.2% [5.1%, 47.7%] | 11.1% [2.0%, 43.5%] | 0.0% [0.0%, 0.0%] | 0.0% [0.0%, 0.0%] | 0.0% [0.0%, 0.0%] | 0.0% [0.0%, 0.0%] | 13.6% [3.0%, 28.8%] | 8.3% [2.3%, 17.4%] | 0.0% [0.0%, 0.0%] | 0 of 11 | 0.0013 |
| non-fatal | 29 | 0.0% [0.0%, 11.7%] | 0.0% [0.0%, 11.7%] | 0.0% [0.0%, 11.7%] | 10.3% [3.6%, 26.4%] | 34.5% [19.9%, 52.7%] | 0.0% [0.0%, 16.8%] | 3.4% [0.0%, 10.3%] | 1.7% [0.0%, 5.2%] | 3.4% [0.0%, 10.3%] | 1.7% [0.0%, 5.2%] | 10.3% [1.7%, 20.7%] | 13.2% [2.9%, 25.9%] | 1.1% [0.0%, 3.4%] | 0 of 29 | 0.0010 |
| class C | 5 | 0.0% [0.0%, 43.4%] | 0.0% [0.0%, 43.4%] | 0.0% [0.0%, 43.4%] | 20.0% [3.6%, 62.4%] | 20.0% [3.6%, 62.4%] | 0.0% [0.0%, 49.0%] | 0.0% [0.0%, 0.0%] | 0.0% [0.0%, 0.0%] | 0.0% [0.0%, 0.0%] | 0.0% [0.0%, 0.0%] | 0.0% [0.0%, 0.0%] | 0.0% [0.0%, 0.0%] | 0.0% [0.0%, 0.0%] | 0 of 5 | 0.0010 |
| class F | 9 | 0.0% [0.0%, 29.9%] | 0.0% [0.0%, 29.9%] | 0.0% [0.0%, 29.9%] | 0.0% [0.0%, 29.9%] | 11.1% [2.0%, 43.5%] | 0.0% [0.0%, 32.4%] | 0.0% [0.0%, 0.0%] | 0.0% [0.0%, 0.0%] | 0.0% [0.0%, 0.0%] | 0.0% [0.0%, 0.0%] | 18.5% [0.0%, 37.0%] | 17.6% [0.0%, 40.7%] | 0.0% [0.0%, 0.0%] | 0 of 9 | 0.0014 |
| class L | 26 | 3.8% [0.7%, 18.9%] | 3.8% [0.7%, 18.9%] | 3.8% [0.7%, 18.9%] | 7.7% [2.1%, 24.1%] | 38.5% [22.4%, 57.5%] | 6.2% [1.1%, 28.3%] | 3.8% [0.0%, 11.5%] | 1.9% [0.0%, 5.8%] | 3.8% [0.0%, 11.5%] | 1.9% [0.0%, 5.8%] | 10.9% [2.6%, 21.2%] | 12.2% [2.6%, 25.0%] | 1.3% [0.0%, 3.8%] | 0 of 26 | 0.0010 |
| flavour Standard report | 14 | 0.0% [0.0%, 21.5%] | 0.0% [0.0%, 21.5%] | 0.0% [0.0%, 21.5%] | 0.0% [0.0%, 21.5%] | 35.7% [16.3%, 61.2%] | 0.0% [0.0%, 29.9%] | 0.0% [0.0%, 0.0%] | 0.0% [0.0%, 0.0%] | 0.0% [0.0%, 0.0%] | 0.0% [0.0%, 0.0%] | 3.6% [0.0%, 10.7%] | 2.4% [0.0%, 7.1%] | 0.0% [0.0%, 0.0%] | 0 of 14 | 0.0011 |
| flavour Basic (no factual) | 17 | 0.0% [0.0%, 18.4%] | 0.0% [0.0%, 18.4%] | 0.0% [0.0%, 18.4%] | 17.6% [6.2%, 41.0%] | 29.4% [13.3%, 53.1%] | 0.0% [0.0%, 24.3%] | 5.9% [0.0%, 17.6%] | 2.9% [0.0%, 8.8%] | 5.9% [0.0%, 17.6%] | 2.9% [0.0%, 8.8%] | 11.8% [0.0%, 26.5%] | 14.7% [0.0%, 32.4%] | 2.0% [0.0%, 5.9%] | 0 of 17 | 0.0010 |
| flavour Detailed (ICAO headers) | 9 | 11.1% [2.0%, 43.5%] | 11.1% [2.0%, 43.5%] | 11.1% [2.0%, 43.5%] | 0.0% [0.0%, 29.9%] | 22.2% [6.3%, 54.7%] | 14.3% [2.6%, 51.3%] | 0.0% [0.0%, 0.0%] | 0.0% [0.0%, 0.0%] | 0.0% [0.0%, 0.0%] | 0.0% [0.0%, 0.0%] | 22.2% [5.6%, 40.7%] | 21.3% [3.7%, 44.4%] | 0.0% [0.0%, 0.0%] | 0 of 9 | 0.0013 |

Baseline floor (honest baseline, spec §6.3: fit on development, scored on all 4,241 held-out cases): top-1 17.7%, top-3 35.7%, finding recall@10 (flagged) 23.2%, finding recall@10 (all) 21.0%
