code,label
01010000,Aircraft — Aircraft handling/service — (general) — (general)
01010500,Aircraft — Aircraft handling/service — Maintenance/inspections — (general)
01010510,Aircraft — Aircraft handling/service — Maintenance/inspections — Time limits
01010520,Aircraft — Aircraft handling/service — Maintenance/inspections — Scheduled maint checks
01010530,Aircraft — Aircraft handling/service — Maintenance/inspections — Return to service
01010550,Aircraft — Aircraft handling/service — Maintenance/inspections — Unscheduled maint checks
01010900,Aircraft — Aircraft handling/service — Towing and taxiing — (general)
01010910,Aircraft — Aircraft handling/service — Towing and taxiing — Towing
01010920,Aircraft — Aircraft handling/service — Towing and taxiing — Taxiing
01011000,Aircraft — Aircraft handling/service — Parking/securing — (general)
01011010,Aircraft — Aircraft handling/service — Parking/securing — Parking/storage
01011020,Aircraft — Aircraft handling/service — Parking/securing — Tie-down/mooring
01011500,Aircraft — Aircraft handling/service — Loading — (general)
01020000,Aircraft — Aircraft systems — (general) — (general)
01022100,Aircraft — Aircraft systems — Air conditioning system — (general)
01022110,Aircraft — Aircraft systems — Air conditioning system — Compressor system
01022120,Aircraft — Aircraft systems — Air conditioning system — Air distribution system
01022121,Aircraft — Aircraft systems — Air conditioning system — Air distribution fan
01022130,Aircraft — Aircraft systems — Air conditioning system — Pressurization control system
01022131,Aircraft — Aircraft systems — Air conditioning system — Pressure controller
01022132,Aircraft — Aircraft systems — Air conditioning system — Pressure indicator
01022133,Aircraft — Aircraft systems — Air conditioning system — Regulator-outflow valve
01022134,Aircraft — Aircraft systems — Air conditioning system — Pressure sensor
01022140,Aircraft — Aircraft systems — Air conditioning system — Heating system
01022150,Aircraft — Aircraft systems — Air conditioning system — Cooling sys (air/vapor cycle)
01022160,Aircraft — Aircraft systems — Air conditioning system — Temperature control system
01022161,Aircraft — Aircraft systems — Air conditioning system — Temperature controller
01022162,Aircraft — Aircraft systems — Air conditioning system — Cabin temperature indicator
01022163,Aircraft — Aircraft systems — Air conditioning system — Cabin temperature sensor
01022170,Aircraft — Aircraft systems — Air conditioning system — Humidity control system
01022197,Aircraft — Aircraft systems — Air conditioning system — Air cond sys wiring
01022200,Aircraft — Aircraft systems — Auto flight system — (general)
01022210,Aircraft — Aircraft systems — Auto flight system — Autopilot system
01022211,Aircraft — Aircraft systems — Auto flight system — Autopilot computer
01022212,Aircraft — Aircraft systems — Auto flight system — Altitude controller
01022213,Aircraft — Aircraft systems — Auto flight system — Flight controller
01022214,Aircraft — Aircraft systems — Auto flight system — Autopilot trim indicator
01022215,Aircraft — Aircraft systems — Auto flight system — Autopilot main servo
01022216,Aircraft — Aircraft systems — Auto flight system — Autopilot trim servo
01022220,Aircraft — Aircraft systems — Auto flight system — Speed-attitude correction sys
01022230,Aircraft — Aircraft systems — Auto flight system — Auto throttle system
01022250,Aircraft — Aircraft systems — Auto flight system — Aerodynamic load alleviating
01022297,Aircraft — Aircraft systems — Auto flight system — Autoflight sys wiring
01022300,Aircraft — Aircraft systems — Communications system — (general)
01022310,Aircraft — Aircraft systems — Communications system — HF communication system
01022311,Aircraft — Aircraft systems — Communications system — UHF communication system
01022312,Aircraft — Aircraft systems — Communications system — VHF communication system
01022320,Aircraft — Aircraft systems — Communications system — Data transmission auto call
01022330,Aircraft — Aircraft systems — Communications system — PA & entertainment system
01022340,Aircraft — Aircraft systems — Communications system — Interphone
01022350,Aircraft — Aircraft systems — Communications system — Audio integrating
01022360,Aircraft — Aircraft systems — Communications system — Static discharge system
01022370,Aircraft — Aircraft systems — Communications system — Audio & video monitoring
01022397,Aircraft — Aircraft systems — Communications system — Comm sys wiring
01022400,Aircraft — Aircraft systems — Electrical power system — (general)
01022410,Aircraft — Aircraft systems — Electrical power system — Alternator-generator drive sys
01022420,Aircraft — Aircraft systems — Electrical power system — AC generation system
01022421,Aircraft — Aircraft systems — Electrical power system — AC generator-alternator
01022422,Aircraft — Aircraft systems — Electrical power system — AC inverter
01022423,Aircraft — Aircraft systems — Electrical power system — Phase adapter
01022424,Aircraft — Aircraft systems — Electrical power system — AC regulator
01022425,Aircraft — Aircraft systems — Electrical power system — AC indicating systems
01022430,Aircraft — Aircraft systems — Electrical power system — DC generation system
01022431,Aircraft — Aircraft systems — Electrical power system — Battery overheat warning sys
01022432,Aircraft — Aircraft systems — Electrical power system — Battery/charger
01022433,Aircraft — Aircraft systems — Electrical power system — DC rectifier-converter
01022434,Aircraft — Aircraft systems — Electrical power system — DC generator-alternator
01022435,Aircraft — Aircraft systems — Electrical power system — Starter-generator
01022436,Aircraft — Aircraft systems — Electrical power system — DC regulator
01022437,Aircraft — Aircraft systems — Electrical power system — DC indicating system
01022440,Aircraft — Aircraft systems — Electrical power system — External power system
01022450,Aircraft — Aircraft systems — Electrical power system — AC power distribution system
01022460,Aircraft — Aircraft systems — Electrical power system — DC power distribution system
01022497,Aircraft — Aircraft systems — Electrical power system — Electrical pwr sys wiring
01022500,Aircraft — Aircraft systems — Equipment/furnishings — (general)
01022510,Aircraft — Aircraft systems — Equipment/furnishings — Flight compartment equipment
01022520,Aircraft — Aircraft systems — Equipment/furnishings — Passenger compartment equip
01022530,Aircraft — Aircraft systems — Equipment/furnishings — Buffet/galleys
01022540,Aircraft — Aircraft systems — Equipment/furnishings — Lavatories
01022550,Aircraft — Aircraft systems — Equipment/furnishings — Cargo compartments
01022551,Aircraft — Aircraft systems — Equipment/furnishings — Agricultural/external load sys
01022560,Aircraft — Aircraft systems — Equipment/furnishings — Emergency equipment
01022561,Aircraft — Aircraft systems — Equipment/furnishings — Life jacket
01022562,Aircraft — Aircraft systems — Equipment/furnishings — Emergency locator beacon
01022563,Aircraft — Aircraft systems — Equipment/furnishings — Parachute
01022564,Aircraft — Aircraft systems — Equipment/furnishings — Life raft
01022565,Aircraft — Aircraft systems — Equipment/furnishings — Escape slide
01022570,Aircraft — Aircraft systems — Equipment/furnishings — Accessory compartments
01022571,Aircraft — Aircraft systems — Equipment/furnishings — Battery box structure
01022572,Aircraft — Aircraft systems — Equipment/furnishings — Electronic shelf section
01022597,Aircraft — Aircraft systems — Equipment/furnishings — Equ/fur sys wiring
01022600,Aircraft — Aircraft systems — Fire protection system — (general)
01022610,Aircraft — Aircraft systems — Fire protection system — Detection system
01022611,"Aircraft — Aircraft systems — Fire protection system — Smoke, detection"
01022612,"Aircraft — Aircraft systems — Fire protection system — Fire, detection"
01022613,"Aircraft — Aircraft systems — Fire protection system — Overheat, detection"
01022620,Aircraft — Aircraft systems — Fire protection system — Extinguishing system
01022621,"Aircraft — Aircraft systems — Fire protection system — Fire bottle, fixed"
01022622,"Aircraft — Aircraft systems — Fire protection system — Fire bottle, portable"
01022697,Aircraft — Aircraft systems — Fire protection system — Fire prot sys wiring
01022700,Aircraft — Aircraft systems — Flight control system — (general)
01022701,Aircraft — Aircraft systems — Flight control system — Control column section
01022710,Aircraft — Aircraft systems — Flight control system — Aileron control system
01022711,Aircraft — Aircraft systems — Flight control system — Aileron tab control system
01022720,Aircraft — Aircraft systems — Flight control system — Rudder control system
01022721,Aircraft — Aircraft systems — Flight control system — Rudder tab control system
01022722,Aircraft — Aircraft systems — Flight control system — Rudder actuator
01022730,Aircraft — Aircraft systems — Flight control system — Elevator control system
01022731,Aircraft — Aircraft systems — Flight control system — Elevator tab control system
01022740,Aircraft — Aircraft systems — Flight control system — Stabilizer control system
01022741,Aircraft — Aircraft systems — Flight control system — Stabilizer position ind system
01022742,Aircraft — Aircraft systems — Flight control system — Stabilizer actuator
01022750,Aircraft — Aircraft systems — Flight control system — TE flap control system
01022751,Aircraft — Aircraft systems — Flight control system — TE flap position ind system
01022752,Aircraft — Aircraft systems — Flight control system — TE flap actuator
01022760,Aircraft — Aircraft systems — Flight control system — Drag control system
01022761,Aircraft — Aircraft systems — Flight control system — Drag control actuator
01022770,Aircraft — Aircraft systems — Flight control system — Gust lock or damper
01022780,Aircraft — Aircraft systems — Flight control system — LE flap control system
01022781,Aircraft — Aircraft systems — Flight control system — LE flap position ind system
01022782,Aircraft — Aircraft systems — Flight control system — LE flap actuator
01022797,Aircraft — Aircraft systems — Flight control system — Flight control sys wiring
01022800,Aircraft — Aircraft systems — Fuel system — (general)
01022810,Aircraft — Aircraft systems — Fuel system — Fuel storage
01022820,Aircraft — Aircraft systems — Fuel system — Fuel distribution
01022821,Aircraft — Aircraft systems — Fuel system — Fuel filter-strainer
01022822,Aircraft — Aircraft systems — Fuel system — Fuel pumps
01022823,Aircraft — Aircraft systems — Fuel system — Fuel selector/shutoff valve
01022824,Aircraft — Aircraft systems — Fuel system — Fuel transfer valve
01022830,Aircraft — Aircraft systems — Fuel system — Fuel dump
01022840,Aircraft — Aircraft systems — Fuel system — Fuel indication system
01022841,Aircraft — Aircraft systems — Fuel system — Fuel quantity indicator
01022842,Aircraft — Aircraft systems — Fuel system — Fuel quantity sensor
01022843,Aircraft — Aircraft systems — Fuel system — Fuel temperature
01022844,Aircraft — Aircraft systems — Fuel system — Fuel pressure
01022897,Aircraft — Aircraft systems — Fuel system — Fuel sys wiring
01022900,Aircraft — Aircraft systems — Hydraulic power system — (general)
01022910,"Aircraft — Aircraft systems — Hydraulic power system — Hydraulic, main system"
01022911,"Aircraft — Aircraft systems — Hydraulic power system — Accumulator, main"
01022912,"Aircraft — Aircraft systems — Hydraulic power system — Filter, main"
01022913,"Aircraft — Aircraft systems — Hydraulic power system — Pump, main"
